case_id,package,scope,required_proof,scenario,expected_result,status,evidence
ID01,P01,personal,live_google,Google nunca usado no Zoen completa onboarding,Um usuario canonico e um espaco pessoal com sessao real,planned,
ID02,P01,personal,live_telegram,Vincular Telegram e entrar novamente com um clique,Mesma identidade Google e retorno ao navegador de origem,planned,
ID03,P01,personal,live_whatsapp,Vincular WhatsApp e entrar novamente com um clique,Mesma identidade Google sem conta permanente duplicada,planned,
ID04,P01,personal,integration,Mensagem nativa antes de cadastro Google,Somente entrada temporaria sem usuario ou espaco permanente,planned,
ID05,P01,personal,integration,Confirme mesmo desafio simultaneamente e repita callback,Um vinculo e recibo idempotente sem sessao para outro navegador,planned,
ID06,P01,personal,integration,Link expirado adulterado ou finalidade trocada,Acesso negado e recuperacao clara sem expor conta existente,planned,
ID07,P01,personal,live_two_users,Segunda pessoa tenta vincular remetente de outro dono,Vinculo original preservado sem transferencia silenciosa,planned,
ID08,P01,personal,integration,Reparo de contas de teste separadas com historico conflitante,Simulacao e transferencia explicita preservam origem e revogam autoridade antiga,planned,
ID09,P01,group,integration,Remetente desconhecido envia mensagem em grupo,Nao cria conta pessoal e nao confirma vinculo privado,planned,
ID10,P01,personal,integration,Varias identidades Google e numeros verificados para uma pessoa,Uniao exige prova e usa o mesmo usuario sem autoassociar por email,planned,
SP01,P02,professional,live_two_users,Criar duas empresas e alternar pessoal e profissional,Conteudo e autorizacao seguem o espaco no servidor,planned,
SP02,P02,professional,integration,Convite expirado reutilizado ou para outro destinatario,Participacao negada sem entrada na rede de confianca,planned,
SP03,P02,professional,live_google,Conectar Google pessoal e delegar uso a uma empresa,Somente capacidades e recursos escolhidos ficam disponiveis,planned,
SP04,P02,professional,live_google,Revogar conexao Google durante tarefa,A proxima operacao e entrega protegida sao impedidas,planned,
SP05,P02,professional,integration,Remover funcionario com tarefa e concessao ativas,HTTP Executor busca historico e retomada perdem acesso,planned,
SP06,P02,group,integration,Grupo tenta usar memoria ou Google pessoal do dono,Acesso negado e nenhum dado privado aparece em resposta,planned,
SP07,P02,professional,integration,Convidado tenta acessar outro projeto da empresa,Somente escopo explicitamente concedido e acessivel,planned,
SP08,P02,professional,integration,Alterar workspace na URL ou parametros de ferramenta,Servidor rejeita acesso sem participacao atual,planned,
TL01,P03,all,integration,Gerar inventario do catalogo real e publicacoes,Toda ferramenta disponivel tem testes efeitos e versao identificados,planned,
TL02,P03,personal,integration_real_executor,Dono cria publica descobre e executa skill com nova ferramenta,Efeito real na fixture via codemode e autoria no Git,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL03,P03,professional,integration_real_executor,Membro propoe ferramenta e administrador publica,Proposta nao executa antes da publicacao autorizada,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL04,P03,group,integration_real_executor,Participante propoe skill no grupo e administrador confirma,Publicacao apenas no espaco vinculado sem conceder manage ao grupo,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL05,P03,all,integration_real_executor,Editar publicar segunda revisao e fazer rollback,Skill e dependencias usam revisao consistente com recibo,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL06,P03,all,integration_real_executor,Duas publicacoes concorrentes no mesmo head,Conflito explicito sem sobrescrever alteracao alheia,planned,
TL07,P03,all,integration_real_executor,Desabilitar ferramenta ja descoberta e chamar via cache,Invocacao negada pela autorizacao atual,passed_integration,tests/runtime/customer-tools.integration.ts; docs/decisions/adr-customer-tools.md; 2026-09-15 isolated PostgreSQL and QuickJS
TL08,P03,all,integration_real_sandbox,Codigo tenta ler ambiente disco host ou chave do broker,Nenhum segredo ou recurso do host fica acessivel,passed_integration,tests/runtime/customer-tools.integration.ts; docs/decisions/adr-customer-tools.md; 2026-09-15 isolated PostgreSQL and QuickJS
TL09,P03,all,integration_real_sandbox,Ferramenta tenta rede privada metadata redirect ou DNS rebinding,Proxy aplica politica a cada destino efetivo,in_progress,"Public egress adapter negative tests pass with a local HTTP socket fixture, including private/mixed DNS, pinned IP/TLS identity, redirects, size and cancellation. Live deployed egress qualification pending. See adr-customer-connectors.md."
TL10,P03,all,integration_real_sandbox,Codigo entra em loop ou gera saida ilimitada,Limites e cancelamento encerram execucao sem afetar outros usuarios,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL11,P03,all,integration_real_executor,Skill maliciosa pede permissao maior ou ignora isolamento,Instrucao nao altera concessoes e tentativa fica auditada,planned,
